ASHFORD PARKSIDE,M 335.5 426.5 L 335.5 438.5 L 334.5 439.5 L 309.5 439.5 L 309.5 451.5 L 308.5 452.5 L 296.5 452.5 L 296.5 463.5 L 320.5 463.5 L 320.5 451.5 L 321.5 450.5 L 359.5 450.5 L 359.5 439.5 L 347.5 439.5 L 346.5 438.5 L 346.5 426.5 z
SS12,M 296.5 426.5 L 296.5 438.5 L 295.5 439.5 L 283.5 439.5 L 283.5 464.5 L 282.5 465.5 L 270.5 465.5 L 270.5 476.5 L 294.5 476.5 L 294.5 451.5 L 295.5 450.5 L 307.5 450.5 L 307.5 426.5 z
SS11A,M 257.5 426.5 L 257.5 463.5 L 281.5 463.5 L 281.5 438.5 L 282.5 437.5 L 294.5 437.5 L 294.5 426.5 z
SS11B,M 231.5 426.5 L 231.5 437.5 L 255.5 437.5 L 255.5 426.5 z
DORAVILLE NORTH,M 413.5 413.5 L 413.5 425.5 L 412.5 426.5 L 400.5 426.5 L 400.5 437.5 L 437.5 437.5 L 437.5 426.5 L 425.5 426.5 L 424.5 425.5 L 424.5 413.5 z
KITTREDGE ELEM,M 348.5 413.5 L 348.5 437.5 L 360.5 437.5 L 361.5 438.5 L 361.5 450.5 L 372.5 450.5 L 372.5 413.5 z
MONTGOMERY ELEM,M 309.5 413.5 L 309.5 437.5 L 333.5 437.5 L 333.5 425.5 L 334.5 424.5 L 346.5 424.5 L 346.5 413.5 z
SS08A,M 283.5 413.5 L 283.5 424.5 L 307.5 424.5 L 307.5 413.5 z
SS07C,M 270.5 413.5 L 270.5 424.5 L 281.5 424.5 L 281.5 413.5 z
SS11C,M 257.5 413.5 L 257.5 424.5 L 268.5 424.5 L 268.5 413.5 z
SS31,M 231.5 413.5 L 231.5 424.5 L 255.5 424.5 L 255.5 413.5 z
SS16,M 192.5 413.5 L 192.5 450.5 L 203.5 450.5 L 203.5 438.5 L 204.5 437.5 L 216.5 437.5 L 216.5 413.5 z
HUNTLEY HILLS ELEM,M 374.5 400.5 L 374.5 437.5 L 398.5 437.5 L 398.5 425.5 L 399.5 424.5 L 411.5 424.5 L 411.5 413.5 L 386.5 413.5 L 385.5 412.5 L 385.5 400.5 z
SS08D,M 283.5 400.5 L 283.5 411.5 L 307.5 411.5 L 307.5 400.5 z
SS08B,M 270.5 400.5 L 270.5 411.5 L 281.5 411.5 L 281.5 400.5 z
SS07B,M 257.5 400.5 L 257.5 411.5 L 268.5 411.5 L 268.5 400.5 z
SS06,M 218.5 400.5 L 218.5 437.5 L 229.5 437.5 L 229.5 400.5 z
Sope Creek 02,M 166.5 400.5 L 166.5 412.5 L 165.5 413.5 L 153.5 413.5 L 153.5 450.5 L 190.5 450.5 L 190.5 426.5 L 178.5 426.5 L 177.5 425.5 L 177.5 400.5 z
Marietta 6A,M 153.5 400.5 L 153.5 411.5 L 164.5 411.5 L 164.5 400.5 z
CHESNUT ELEM,M 413.5 387.5 L 413.5 399.5 L 412.5 400.5 L 387.5 400.5 L 387.5 411.5 L 424.5 411.5 L 424.5 387.5 z
GEORGETOWN SQUARE,M 322.5 387.5 L 322.5 399.5 L 321.5 400.5 L 309.5 400.5 L 309.5 411.5 L 359.5 411.5 L 359.5 387.5 z
SS08C,M 283.5 387.5 L 283.5 398.5 L 294.5 398.5 L 294.5 387.5 z
SS07A,M 244.5 387.5 L 244.5 398.5 L 268.5 398.5 L 268.5 387.5 z
SS03,M 231.5 387.5 L 231.5 411.5 L 255.5 411.5 L 255.5 400.5 L 243.5 400.5 L 242.5 399.5 L 242.5 387.5 z
Sope Creek 03,M 192.5 387.5 L 192.5 399.5 L 191.5 400.5 L 179.5 400.5 L 179.5 424.5 L 190.5 424.5 L 190.5 412.5 L 191.5 411.5 L 216.5 411.5 L 216.5 387.5 z
Powers Ferry 01,M 88.5 387.5 L 88.5 398.5 L 99.5 398.5 L 99.5 387.5 z
NORTH PEACHTREE,M 387.5 374.5 L 387.5 385.5 L 399.5 385.5 L 400.5 386.5 L 400.5 398.5 L 411.5 398.5 L 411.5 374.5 z
PEACHTREE MIDDLE,M 361.5 374.5 L 361.5 411.5 L 372.5 411.5 L 372.5 399.5 L 373.5 398.5 L 398.5 398.5 L 398.5 387.5 L 386.5 387.5 L 385.5 386.5 L 385.5 374.5 z
SS05,M 218.5 374.5 L 218.5 398.5 L 229.5 398.5 L 229.5 386.5 L 230.5 385.5 L 255.5 385.5 L 255.5 374.5 z
DUNWOODY,M 309.5 361.5 L 309.5 386.5 L 308.5 387.5 L 296.5 387.5 L 296.5 398.5 L 320.5 398.5 L 320.5 386.5 L 321.5 385.5 L 346.5 385.5 L 346.5 374.5 L 321.5 374.5 L 320.5 373.5 L 320.5 361.5 z
SS02B,M 244.5 361.5 L 244.5 372.5 L 268.5 372.5 L 268.5 361.5 z
SS18A,M 231.5 361.5 L 231.5 372.5 L 242.5 372.5 L 242.5 361.5 z
Mount Bethel 04,M 179.5 361.5 L 179.5 398.5 L 190.5 398.5 L 190.5 386.5 L 191.5 385.5 L 216.5 385.5 L 216.5 361.5 z
Sope Creek 01,M 153.5 361.5 L 153.5 385.5 L 165.5 385.5 L 166.5 386.5 L 166.5 398.5 L 177.5 398.5 L 177.5 361.5 z
Eastside 02,M 114.5 361.5 L 114.5 385.5 L 126.5 385.5 L 127.5 386.5 L 127.5 398.5 L 164.5 398.5 L 164.5 387.5 L 152.5 387.5 L 151.5 386.5 L 151.5 361.5 z
TILLY MILL ROAD,M 413.5 348.5 L 413.5 360.5 L 412.5 361.5 L 400.5 361.5 L 400.5 372.5 L 424.5 372.5 L 424.5 348.5 z
DUNWOODY HIGH,M 374.5 348.5 L 374.5 360.5 L 373.5 361.5 L 361.5 361.5 L 361.5 372.5 L 398.5 372.5 L 398.5 348.5 z
MT. VERNON WEST,M 348.5 348.5 L 348.5 360.5 L 347.5 361.5 L 335.5 361.5 L 335.5 372.5 L 347.5 372.5 L 348.5 373.5 L 348.5 385.5 L 359.5 385.5 L 359.5 360.5 L 360.5 359.5 L 372.5 359.5 L 372.5 348.5 z
SS29A,M 296.5 348.5 L 296.5 373.5 L 295.5 374.5 L 283.5 374.5 L 283.5 385.5 L 307.5 385.5 L 307.5 360.5 L 308.5 359.5 L 320.5 359.5 L 320.5 348.5 z
SS04,M 283.5 348.5 L 283.5 360.5 L 282.5 361.5 L 270.5 361.5 L 270.5 373.5 L 269.5 374.5 L 257.5 374.5 L 257.5 385.5 L 269.5 385.5 L 270.5 386.5 L 270.5 398.5 L 281.5 398.5 L 281.5 373.5 L 282.5 372.5 L 294.5 372.5 L 294.5 348.5 z
SS02A,M 257.5 348.5 L 257.5 359.5 L 281.5 359.5 L 281.5 348.5 z
SS18B,M 244.5 348.5 L 244.5 359.5 L 255.5 359.5 L 255.5 348.5 z
Sewell Mill 03,M 88.5 348.5 L 88.5 373.5 L 87.5 374.5 L 75.5 374.5 L 75.5 385.5 L 112.5 385.5 L 112.5 360.5 L 113.5 359.5 L 125.5 359.5 L 125.5 348.5 z
Marietta 5A,M 75.5 348.5 L 75.5 372.5 L 86.5 372.5 L 86.5 348.5 z
Mount Bethel 03,M 218.5 335.5 L 218.5 347.5 L 217.5 348.5 L 205.5 348.5 L 205.5 359.5 L 217.5 359.5 L 218.5 360.5 L 218.5 372.5 L 229.5 372.5 L 229.5 360.5 L 230.5 359.5 L 242.5 359.5 L 242.5 347.5 L 243.5 346.5 L 255.5 346.5 L 255.5 335.5 z
WINTERS CHAPEL,M 426.5 322.5 L 426.5 359.5 L 437.5 359.5 L 437.5 322.5 z
KINGSLEY ELEM,M 400.5 322.5 L 400.5 334.5 L 399.5 335.5 L 387.5 335.5 L 387.5 346.5 L 399.5 346.5 L 400.5 347.5 L 400.5 359.5 L 411.5 359.5 L 411.5 347.5 L 412.5 346.5 L 424.5 346.5 L 424.5 322.5 z
DUNWOODY LIBRARY,M 348.5 322.5 L 348.5 334.5 L 347.5 335.5 L 335.5 335.5 L 335.5 347.5 L 334.5 348.5 L 322.5 348.5 L 322.5 372.5 L 333.5 372.5 L 333.5 360.5 L 334.5 359.5 L 346.5 359.5 L 346.5 347.5 L 347.5 346.5 L 359.5 346.5 L 359.5 322.5 z
SS19B,M 270.5 322.5 L 270.5 334.5 L 269.5 335.5 L 257.5 335.5 L 257.5 346.5 L 281.5 346.5 L 281.5 334.5 L 282.5 333.5 L 294.5 333.5 L 294.5 322.5 z
Eastside 01,M 179.5 322.5 L 179.5 334.5 L 178.5 335.5 L 166.5 335.5 L 166.5 359.5 L 203.5 359.5 L 203.5 335.5 L 191.5 335.5 L 190.5 334.5 L 190.5 322.5 z
Fullers Park 01,M 153.5 322.5 L 153.5 334.5 L 152.5 335.5 L 140.5 335.5 L 140.5 347.5 L 139.5 348.5 L 127.5 348.5 L 127.5 359.5 L 164.5 359.5 L 164.5 334.5 L 165.5 333.5 L 177.5 333.5 L 177.5 322.5 z
MT. VERNON EAST,M 361.5 309.5 L 361.5 346.5 L 385.5 346.5 L 385.5 334.5 L 386.5 333.5 L 398.5 333.5 L 398.5 322.5 L 373.5 322.5 L 372.5 321.5 L 372.5 309.5 z
AUSTIN,M 335.5 309.5 L 335.5 321.5 L 334.5 322.5 L 322.5 322.5 L 322.5 334.5 L 321.5 335.5 L 309.5 335.5 L 309.5 346.5 L 333.5 346.5 L 333.5 334.5 L 334.5 333.5 L 346.5 333.5 L 346.5 321.5 L 347.5 320.5 L 359.5 320.5 L 359.5 309.5 z
SS26,M 296.5 309.5 L 296.5 334.5 L 295.5 335.5 L 283.5 335.5 L 283.5 346.5 L 307.5 346.5 L 307.5 334.5 L 308.5 333.5 L 320.5 333.5 L 320.5 309.5 z
Dickerson 01,M 205.5 309.5 L 205.5 346.5 L 216.5 346.5 L 216.5 334.5 L 217.5 333.5 L 229.5 333.5 L 229.5 321.5 L 230.5 320.5 L 242.5 320.5 L 242.5 309.5 z
Sewell Mill 01,M 127.5 309.5 L 127.5 321.5 L 126.5 322.5 L 114.5 322.5 L 114.5 346.5 L 138.5 346.5 L 138.5 334.5 L 139.5 333.5 L 151.5 333.5 L 151.5 309.5 z
